City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Broken Hill,AU,83.91,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
272,Saint-Pierre,RE,85.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
274,Samarai,PG,85.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
276,Bluefields,NI,75.42,few clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
280,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
283,Tsogni,GA,75.02,light rain,-2.7942,10.0988,
284,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Bocas Del Toro,PA,78.33,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
308,Kaeo,NZ,75.33,light rain,-35.1,173.7833,Bushido Lodge
313,Cabo San Lucas,MX,76.3,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
317,Port Keats,AU,88.93,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
320,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
331,Kampot,KH,77.05,broken clouds,10.6167,104.1833,Two Moons Hotel
334,Kota Belud,MY,80.46,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
337,Atambua,ID,75.25,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
339,Bandarbeyla,SO,76.03,overcast clouds,9.4942,50.8122,JABIR HOTEL
352,Chazuta,PE,75.52,overcast clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
353,Moron,AR,75.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
355,Sabang,ID,81.43,broken clouds,5.8933,95.3214,Hotel Citra
360,Tautira,PF,77.02,moderate rain,-17.7333,-149.15,Pension Oaoa
361,Piacabucu,BR,77.29,clear sky,-10.4056,-36.4344,Piaçabuçu News
372,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
377,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
379,Lakatoro,VU,85.15,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
380,Poum,NC,82.4,few clouds,-20.2333,164.0167,Gîte kajeon
381,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
389,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
392,Cidreira,BR,76.06,clear sky,-30.1811,-50.2056,Hotel Castelo
393,Libreville,GA,75.74,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
397,Fomboni,KM,83.1,overcast clouds,-12.28,43.7425,Auberge les abou
398,Monaragala,LK,81.12,overcast clouds,6.8714,81.3487,Silanrich Hotel
407,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
410,Presidencia Roque Saenz Pena,AR,83.35,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
412,Sola,VU,83.12,broken clouds,-13.8833,167.55,Leumerus Bungalows
413,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
415,Soyo,AO,76.35,overcast clouds,-6.1349,12.3689,Hotel Mpampa
416,Harper,LR,76.14,few clouds,4.375,-7.7169,Screensaver
417,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
421,Codrington,AU,80.15,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
423,Lorengau,PG,79.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
440,Marigot,MF,78.58,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
442,Paciran,ID,82.96,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
444,Kawalu,ID,81.95,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
449,Port Lincoln,AU,77.52,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
453,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
454,Cravo Norte,CO,80.24,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
459,Hambantota,LK,82.74,clear sky,6.1241,81.1185,Bungalow 63
468,Pedasi,PA,75.07,clear sky,7.5333,-80.0333,Selina Pedasi
469,Maryborough,AU,84.11,broken clouds,-25.5333,152.7,Blue Shades Motel
478,Thinadhoo,MV,81.43,overcast clouds,0.5333,72.9333,
480,Honiara,SB,84.52,light rain,-9.4333,159.95,Heritage Park Hotel
483,Mareeba,AU,87.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
489,Guayaramerin,BO,76.06,overcast clouds,-10.8368,-65.3614,Hostal Funf
491,Ratnagiri,IN,77.4,overcast clouds,16.9833,73.3,Hotel Landmark
496,Pelotas,BR,78.82,light rain,-31.7719,-52.3425,Hotéis Jacques Georges Tower
499,Hobyo,SO,79.23,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
504,Isla Mujeres,MX,75.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
508,Esperance,AU,85.84,clear sky,-33.8667,121.9,Hospitality Esperance
512,Inhambane,MZ,75.16,broken clouds,-23.865,35.3833,Oceano
513,Omboue,GA,75.58,light rain,-1.5746,9.2618,Hotel Olako
522,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
525,Bowen,AU,82.62,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
526,Quang Ngai,VN,75.54,broken clouds,15.1167,108.8,Central Hotel
543,Alugan,PH,79.5,overcast clouds,12.2188,125.4808,JM Lodge
544,Tiarei,PF,77.02,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
548,Ranong,TH,87.73,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
554,Saint-Georges,GD,76.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
556,Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
557,Pangai,TO,82.24,few clouds,-19.8,-174.35,Ha'apai Beach Resort
558,Nabire,ID,85.21,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
559,Witu,KE,75.36,overcast clouds,-2.3889,40.4382,
568,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
570,Axim,GH,76.44,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
574,Kendari,ID,84.69,overcast clouds,-3.945,122.4989,Hotel Wixel
578,Kalianget,ID,79.52,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
